headline,link,date,content
"Union Cabinet approves Rs 2,642-cr Varanasi-DDU multi-tracking project",https://economictimes.indiatimes.com/news/economy/infrastructure/union-cabinet-approves-rs-2642-cr-varanasi-ddu-multi-tracking-project/articleshow/114284944.cms,17-10-2024,"Prime Minister Narendra Modi-led Union Cabinet on Wednesday approved the Varanasi-Pt Deen Dayal Upadhyaya (DDU) multi-tracking project with an estimated cost of Rs 2,642 crore. The proposed project includes a new rail-cum-road bridge across the Ganga river and the addition of third and fourth railway lines between Varanasi and
DDU Junction
route, among other infrastructural upgrades.
""The proposed multi-tracking project will ease operations and reduce congestion, providing the much-required infrastructural development on the busiest sections across
Indian Railways
. The project traverses through Varanasi and Chandauli districts in
Uttar Pradesh
,"" a government statement said.
It added, ""Varanasi Railway Station, a crucial hub in Indian Railways, connects key zones and serves as a gateway for pilgrims, tourists and the local population.""
According to the statement, the Varanasi-DDU Junction route, vital for both passenger and freight traffic, faces heavy congestion due to its role in transporting goods like coal, cement, and food grains, as well as serving growing tourism and industrial demands.
""To address this issue, infrastructure upgrades are needed, including a new rail-cum-road bridge over the Ganga River and the addition of 3rd and 4th railway lines. These enhancements aim to improve capacity, efficiency and support the region's socio-economic growth,"" the statement said.
Artificial Intelligence(AI)
Java Programming with ChatGPT: Learn using Generative AI
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Artificial Intelligence(AI)
Basics of Generative AI: Unveiling Tomorrows Innovations
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Artificial Intelligence(AI)
Generative AI for Dynamic Java Web Applications with ChatGPT
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Marketing
Performance Marketing for eCommerce Brands
By - Zafer Mukeri, Founder- Inara Marketers
View Program
Artificial Intelligence(AI)
Mastering C++ Fundamentals with Generative AI: A Hands-On
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Finance
A2Z Of Money
By - elearnmarkets, Financial Education by StockEdge
View Program
Artificial Intelligence(AI)
Master in Python Language Quickly Using the ChatGPT Open AI
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Office Productivity
Zero to Hero in Microsoft Excel: Complete Excel guide 2024
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Artificial Intelligence(AI)
AI and Analytics based Business Strategy
By - Tanusree De, Managing Director- Accenture Technology Lead, Trustworthy AI Center of Excellence: ATCI
View Program
Technology
Certified Jenkins Professional
By - Vskills, India's Leading Certification Body
View Program
Astrology
Vastu Shastra Course
By - Sachenkumar Rai, Vastu Shashtri
View Program
Data Science
SQL for Data Science along with Data Analytics and Data Visualization
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Web Development
A Comprehensive ASP.NET Core MVC 6 Project Guide for 2024
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Office Productivity
Mastering Microsoft Office: Word, Excel, PowerPoint, and 365
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Marketing
Digital marketing - Wordpress Website Development
By - Shraddha Somani, Digital Marketing Trainer, Consultant, Strategiest and Subject Matter expert
View Program
Web Development
Mastering Full Stack Development: From Frontend to Backend Excellence
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Finance
Financial Literacy i.e Lets Crack the Billionaire Code
By - CA Rahul Gupta, CA with 10+ years of experience and Accounting Educator
View Program
Leadership
Business Storytelling Masterclass
By - Ameen Haque, Founder of Storywallahs
View Program
Marketing
Future of Marketing & Branding Masterclass
By - Dr. David Aaker, Professor Emeritus at the Haas School of Business, UC Berkeley, Author | Speaker | Thought Leader | Branding Consultant
View Program
Strategy
ESG and Business Sustainability Strategy
By - Vipul Arora, Partner, ESG & Climate Solutions at Sattva Consulting Author I Speaker I Thought Leader
View Program
""Apart from relief in congestion in the stretch, 27.83 MTPA (million tonnes per annum) freight is anticipated on the proposed stretch,"" it added.
Highlighting the enhancement of employment/self-employment opportunities, the official release stated that the project is result of PM-Gati Shakti National Master Plan for multi-modal connectivity which has been possible through integrated planning and will provide seamless connectivity for movement of people, goods and services.
According to the government, the project, covering two districts in Uttar Pradesh, will increase the existing network of Indian Railways by about 30 kilometres.
""The Railways being an environmentally friendly and energy efficient mode of transportation, will help both in achieving climate goals and minimizing logistics cost of the country and lower CO2 emissions (149 crore kg) which is equivalent to plantation of six crore trees,"" the statement said.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
'World's one of the biggest…': Cabinet announces Rs 2642 Cr worth new bridge construction in Kashi,https://economictimes.indiatimes.com/news/economy/infrastructure/worlds-one-of-the-biggest-cabinet-announces-rs-2642-cr-worth-new-bridge-construction-in-kashi/videoshow/114284888.cms,16-10-2024,
Piyush Goyal launches district master plan under PM GatiShakti for infra planning in 27 aspirational districts,https://economictimes.indiatimes.com/news/economy/infrastructure/piyush-goyal-launches-district-master-plan-under-pm-gatishakti-for-infra-planning-in-27-aspirational-districts/articleshow/114256895.cms,15-10-2024,"Commerce and Industry Minister
Piyush Goyal
on Tuesday launched a
district master plan
under the
PM GatiShakti
initiative for infrastructure planning in 27
aspirational districts
of the country. A
national master plan portal
is there under the initiative for efficient planning and implementation of infrastructure projects.
Goyal said that the district master plan will be expanded to cover more than 750 districts across the country in the next 18 months.
The minister also launched the guidelines for preparing logistics plans to help cities tailor their logistics planning.
He added that the PM GatiShakti is India's offering to the world of tomorrow where over 1,600 layers of data have been accumulated at the central and state levels for faster, better, and cost-effective planning of world class infrastructure.
""This is going to be the technology that the world will use for their infra planning in the years to come,"" he said, adding India's urban planners, architects, engineers, international organisations that fund many of these projects would get confidence in India's infrastructure projects.
Live Events
Every data in PM GatiShakti is validated, double-checked and a mechanism has been introduced for periodic updation of the data, he said.
The portal was developed by Gujarat-based BISAG-N (Bhaskaracharya Institute for Space Applications and Geoinformatics).
""This GIS enabled platform will help save significant budget for the government and plan to build infrastructure with more efficiency due to its data-backed decision making process,"" Goyal said.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
Mumbai's toll waiver explained: What it means and who stands to benefit,https://economictimes.indiatimes.com/news/economy/infrastructure/mumbais-toll-waiver-explained-what-it-means-and-who-stands-to-benefit/slideshow/114215739.cms,14-10-2024,
PM GatiShakti Portal's door may open for private firms,https://economictimes.indiatimes.com/news/economy/infrastructure/pm-gatishakti-portals-door-may-open-for-private-firms/articleshow/114177711.cms,13-10-2024,"New Delhi: India aims to open up the PM GatiShakti
National Master Plan
(NMP) portal to the private sector this year. The move is expected to fast-track planning and implementation of key
infrastructure projects
.
The infrastructure platform is currently accessible only to government departments and state agencies.
Discussions are underway to give limited access to private sector companies, said Department for Promotion of Industry and Internal Trade (
DPIIT
) secretary Amardeep Singh Bhatia on Saturday. He said sensitive data on the NMP won't be accessible.
""We are identifying those. We will do a consultation with the private sector also. Discussions are on and details will be worked out. We are targeting to roll out this year,"" Bhatia said at an event marking the completion of three years of PM GatiShakti.
The programme seeks to develop integrated infrastructure to reduce logistics costs.
Artificial Intelligence(AI)
Java Programming with ChatGPT: Learn using Generative AI
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Artificial Intelligence(AI)
Basics of Generative AI: Unveiling Tomorrows Innovations
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Artificial Intelligence(AI)
Generative AI for Dynamic Java Web Applications with ChatGPT
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Marketing
Performance Marketing for eCommerce Brands
By - Zafer Mukeri, Founder- Inara Marketers
View Program
Artificial Intelligence(AI)
Mastering C++ Fundamentals with Generative AI: A Hands-On
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Finance
A2Z Of Money
By - elearnmarkets, Financial Education by StockEdge
View Program
Artificial Intelligence(AI)
Master in Python Language Quickly Using the ChatGPT Open AI
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Office Productivity
Zero to Hero in Microsoft Excel: Complete Excel guide 2024
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Artificial Intelligence(AI)
AI and Analytics based Business Strategy
By - Tanusree De, Managing Director- Accenture Technology Lead, Trustworthy AI Center of Excellence: ATCI
View Program
Technology
Certified Jenkins Professional
By - Vskills, India's Leading Certification Body
View Program
Astrology
Vastu Shastra Course
By - Sachenkumar Rai, Vastu Shashtri
View Program
Data Science
SQL for Data Science along with Data Analytics and Data Visualization
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Web Development
A Comprehensive ASP.NET Core MVC 6 Project Guide for 2024
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Office Productivity
Mastering Microsoft Office: Word, Excel, PowerPoint, and 365
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Marketing
Digital marketing - Wordpress Website Development
By - Shraddha Somani, Digital Marketing Trainer, Consultant, Strategiest and Subject Matter expert
View Program
Web Development
Mastering Full Stack Development: From Frontend to Backend Excellence
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Finance
Financial Literacy i.e Lets Crack the Billionaire Code
By - CA Rahul Gupta, CA with 10+ years of experience and Accounting Educator
View Program
Leadership
Business Storytelling Masterclass
By - Ameen Haque, Founder of Storywallahs
View Program
Marketing
Future of Marketing & Branding Masterclass
By - Dr. David Aaker, Professor Emeritus at the Haas School of Business, UC Berkeley, Author | Speaker | Thought Leader | Branding Consultant
View Program
Strategy
ESG and Business Sustainability Strategy
By - Vipul Arora, Partner, ESG & Climate Solutions at Sattva Consulting Author I Speaker I Thought Leader
View Program
All logistics and connectivity infrastructure projects, entailing investments of over Rs 500 crore are now routed through the
Network Planning Group
(NPG) constituted under the
PM GatiShakti
initiative launched on October 13, 2021.
Bhatia said that over 1,600 layers of data, including those related to land, ports, forests, and highways, are available on the portal that's open to the Centre and states for planning and implementation of infrastructure projects.
The idea of opening PM GatiShakti NMP was discussed in July.
Framework in Works
A committee was formed for technical evaluation of the National Geoscience Data Repository (NGDR) and the Unified Geospatial Interface platform developed by the Bhaskaracharya National Institute for Space Applications and Geo-informatics (BISAG-N) for data sharing.
The DPIIT and
Gujarat-based BISAG-N
are expected to prepare a framework for providing registered access to users on the NGDR platform and also to provide certain data layers as non-restricted and indicated by ministries in a view-only format. The DPIIT is working with states for the integration of updated land record data and will roll out the initiative at the district level in the next one to two months.
Bhatia said that Nepal and Sri Lanka have shown interest in this initiative. “With Sri Lanka, we are working out things,” he said. As per the secretary, 208 big-ticket infrastructure projects of different ministries including roads and railways worth ₹15.39 lakh crore have been recommended for approval under the PM GatiShakti initiative so far.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
Targeting to open PM GatiShakti national master plan portal for pvt sector this year: DPIIT Secy,https://economictimes.indiatimes.com/news/economy/infrastructure/targeting-to-open-pm-gatishakti-national-master-plan-portal-for-pvt-sector-this-year-dpiit-secy/articleshow/114168641.cms,12-10-2024,"The government is targeting to provide access to the PM GatiShakti
national master plan
(NMP) portal to the private sector this year, and discussions are underway for details, an official said on Saturday. Secretary of the Department for Promotion of Industry and Internal Trade (
DPIIT
), Amardeep Singh Bhatia, said there are some layers of data, which are sensitive in nature on the NMP and those should not be exposed.
""So, we are identifying those. We will do a consultation with the private sector also. Discussions are on, and details will be worked out. We are targeting to roll out this year,"" he told reporters through video-conferencing.
The initiative was launched in October 2021 to develop an integrated infrastructure to reduce logistics costs. All logistics and connectivity
infrastructure projects
, entailing investments of over Rs 500 crore are routed through the NPG.
Over 1,600 layers of data, including those related to land, ports, forests, and highways, are available on the portal. So far, the portal is open only to the central and state governments for proper planning and implementation of infrastructure projects.
The agenda of opening
PM GatiShakti
NMP for public access was discussed in GDPDC (
Geospatial Data
Promotion and Development Committee) under the Department of Science and Technology in July.
Artificial Intelligence(AI)
Java Programming with ChatGPT: Learn using Generative AI
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Artificial Intelligence(AI)
Basics of Generative AI: Unveiling Tomorrows Innovations
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Artificial Intelligence(AI)
Generative AI for Dynamic Java Web Applications with ChatGPT
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Marketing
Performance Marketing for eCommerce Brands
By - Zafer Mukeri, Founder- Inara Marketers
View Program
Artificial Intelligence(AI)
Mastering C++ Fundamentals with Generative AI: A Hands-On
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Finance
A2Z Of Money
By - elearnmarkets, Financial Education by StockEdge
View Program
Artificial Intelligence(AI)
Master in Python Language Quickly Using the ChatGPT Open AI
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Office Productivity
Zero to Hero in Microsoft Excel: Complete Excel guide 2024
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Artificial Intelligence(AI)
AI and Analytics based Business Strategy
By - Tanusree De, Managing Director- Accenture Technology Lead, Trustworthy AI Center of Excellence: ATCI
View Program
Technology
Certified Jenkins Professional
By - Vskills, India's Leading Certification Body
View Program
Astrology
Vastu Shastra Course
By - Sachenkumar Rai, Vastu Shashtri
View Program
Data Science
SQL for Data Science along with Data Analytics and Data Visualization
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Web Development
A Comprehensive ASP.NET Core MVC 6 Project Guide for 2024
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Office Productivity
Mastering Microsoft Office: Word, Excel, PowerPoint, and 365
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Marketing
Digital marketing - Wordpress Website Development
By - Shraddha Somani, Digital Marketing Trainer, Consultant, Strategiest and Subject Matter expert
View Program
Web Development
Mastering Full Stack Development: From Frontend to Backend Excellence
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Finance
Financial Literacy i.e Lets Crack the Billionaire Code
By - CA Rahul Gupta, CA with 10+ years of experience and Accounting Educator
View Program
Leadership
Business Storytelling Masterclass
By - Ameen Haque, Founder of Storywallahs
View Program
Marketing
Future of Marketing & Branding Masterclass
By - Dr. David Aaker, Professor Emeritus at the Haas School of Business, UC Berkeley, Author | Speaker | Thought Leader | Branding Consultant
View Program
Strategy
ESG and Business Sustainability Strategy
By - Vipul Arora, Partner, ESG & Climate Solutions at Sattva Consulting Author I Speaker I Thought Leader
View Program
A committee has been formed for the technical evaluation of the NGDR (National Geospatial Data Registry)/ UGI (Unified Geospatial Interface) platform developed by
BISAG-N
for data sharing.
The DPIIT, along with BISAG-N, is expected to prepare a framework for providing registered access to users on the
NGDR platform
and also to provide certain data layers (non-restricted as indicated by ministries) in view-only format.
The PM
Gatishakti National
Master Plan has been developed by BISAG-N (Bhaskaracharya National Institute for Space Applications and Geoinformatics) in a dynamic Geographic Information System (GIS) platform wherein data on the specific action plan of all the Ministries/Departments is being incorporated within a comprehensive database.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
PM GatiShakti: 208 infra projects worth Rs 15.39 lakh crore recommended for approval,https://economictimes.indiatimes.com/news/economy/infrastructure/pm-gatishakti-208-infra-projects-worth-rs-15-39-lakh-crore-recommended-for-approval/articleshow/114168152.cms,12-10-2024,"As many as 208 big-ticket
infrastructure projects
of different ministries, including roads and railways, worth Rs 15.39 lakh crore have been recommended for approval under the
PM GatiShakti
initiative so far, a top government official said on Saturday. These projects have been recommended by the
Network Planning Group
(NPG) constituted under the PM
GatiShakti
initiative launched on October 13, 2021.
""So far, 208 projects have been assessed under the initiative worth Rs 15.39 lakh crore,"" Secretary,
Department for Promotion of Industry and Internal Trade
(DPIIT), Amardeep Singh Bhatia told reporters.
There are several benefits of using the system, including significant cuts in time and cost for planning these infrastructure projects, he added.
The maximum number of projects recommended by the group are related to roads (101), railways (73), urban development (12), and four from the oil and gas ministry.
The inter-ministerial NPG meets every fortnight and appraises infra projects to ensure multi-modality, synchronisation of efforts, and comprehensive development in and around the project location.
Live Events
The initiative was launched to develop an integrated infrastructure to reduce
logistics costs
. All logistics and connectivity infrastructure projects, entailing investments of over Rs 500 crore are routed through the NPG.
The NPG's approval is required before the clearance of the project by the
Public Investment Board
(PIB) or Department of Expenditure under the finance ministry.
The NMP (National Master Plan) has over 1,600 layers of geospatial data, showing all physical and social infrastructure of an area and land records in one place. It has been designed for faster planning and better design so that the impact of an investment is maximised.
The NPG has representations from various connectivity infrastructure ministries/ departments, involving their heads of network planning division for unified planning and integration of the proposals.
All these departments approach the NPG first for approval before making a
DPR
(Detailed Project Report) at the planning stage. After the NPG's clearance, the project follows the normal procedure of approval by the finance ministry and the Cabinet.
Over 1,600 layers of data, including those related to land, ports, forests, and highways, are available on the portal.
Usage of the portal by different ministries, including social sector departments and states, is increasing, and it is helping in the proper planning of projects.
Also, as many as 156 critical infrastructure gaps to ports and for movement of bulk commodities like coal, cement, fertilisers and foodgrains, have been identified for intervention under the PM Gati Shakti initiative.
The department is working with states for integration of updated land record data, the official added.
Besides, he said that Nepal and Sri Lanka have shown keen interest in this initiative.
""We can roll it for them also. With Sri Lanka, we are working out the things,"" he said.
He said that the department is working to roll out the initiative at the district level, and in the next 1-2 months, ""we should be able to roll it out"".
(You can now subscribe to our
Economic Times WhatsApp channel
)"
"Cabinet okays Rs 4,406 cr plan to develop 2,280 km border roads in Punjab, Rajasthan villages",https://economictimes.indiatimes.com/news/economy/infrastructure/cabinet-okays-rs-4406-cr-plan-to-develop-2280-km-border-roads-in-punjab-rajasthan-villages/articleshow/114094010.cms,10-10-2024,"The
Union Cabinet
on Wednesday approved a ₹4,406 crore plan to develop 2,280 km roads in the border areas to connect the villages of
Punjab
and
Rajasthan
. I&B minister
Ashwani Vaishnaw
said these roads are part of the project to connect the border villages with main highways, which were coming up. This would help in connecting these border villages to markets and aid in trade.
The government has already launched programmes to upgrade border villages along the
Line of Actual Control
with China by providing telecom connectivity, roads, infrastructure, etc. In this regard, the government also launched the vibrant village programme last year.
The number of drones seized by the
Border Security Force
has gone up in the first seven months of this year as compared to previous year, said officials. The security forces have seized a large number of drones in Punjab and Rajasthan for smuggling of narcotics, arms and ammunition. Punjab has 23 districts and shares borders with Jammu and Kashmir, Himachal Pradesh, Haryana and Rajasthan. Besides Punjab, the drones are also sighted in Rajasthan's Sriganganagar, Bikaner and Jaisalmer (North).
BSF
also seized arms, ammunition, tiffin bombs and AK-47 pistols being ferried by Unmanned Aerial Vehicles.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
"Soon, you can travel from Bangalore airport to Cantt Station in 40 minutes, says Minister Vaishnaw",https://economictimes.indiatimes.com/news/economy/infrastructure/soon-you-can-travel-from-bangalore-airport-to-cantt-station-in-40-minutes-says-minister-vaishnaw/articleshow/113984324.cms,06-10-2024,"People would soon be able to travel from the international airport premises to the Bangalore
Cantt station
in about 40 minutes, MeitY, I&B and Railway Minister
Ashwini Vaishnaw
announced at the ET Startup Awards event, Saturday evening, promising citizens a faster alternative to the road commute.
Vaishnaw himself took the train from the airport to Cantt station where he reviewed the progress of ongoing projects and the planned ones. The journey, he said, took 35 minutes for him and when commissioned in a few months’ time, may take five extra minutes.
The shortest route to the airport from the Cantt
railway station
is 32 kms, but the traffic jams make the travel time unpredictable. MoS (railways) and Tumakuru Lok Sabha member V Somanna would be leading the project of taking the railway station right into the sprawling airport. Last year he inspected the airport line project and most of the work planned had been done, the Union Minister said.
At the Cantt station, he reviewed the progress of the redevelopment work going on at Cantt as well as Yeshwantpur railway stations. The redevelopment at Cantt, the minister said, would result in creation of 18,000 square metres of new land near tracks.
The two stations in Bengaluru are among 1137 stations currently being modernized in India in the world’s largest such redevelopment challenge. Such projects used to take decades, the union minister said, and added that this year 1050 stations would be ready and inaugurated.
Live Events
CIRCULAR RAILWAY:
The railway board would finalise the detailed project report (DPR) for circular rail for Bengaluru by December. The railways conceptualized the circular railway for Bengaluru last year with seven spokes connecting the city. The lines would connect Bengaluru with surrounding towns and cities like Tumakuru and Mysuru and integrate them closely with Bengauru.
Most people living in those cities and working in Bengaluru can commute daily and get back home faster and, added in a light hearted comment, 'enjoy their dosa.'
The railway ministry, Vaishnaw said, had a capital expenditure of $29 billion last year and constructed 5300 km of new tracks, which is more than the entire rail network of Switzerland.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
"Maharashtra's Sangli, Satara to get better connectivity as work on NH 160 begins: Nitin Gadkari",https://economictimes.indiatimes.com/news/economy/infrastructure/maharashtras-sangli-satara-to-get-better-connectivity-as-work-on-nh-160-begins-nitin-gadkari/articleshow/113938490.cms,04-10-2024,"Maharashtra
's districts of
Sangli
and
Satara
are set to get improved infrastructure with
National Highway
160, which will connect
Sinnar
to
Chikkodi
in
Karnataka
.
Sangli District Gaurdian and Minister Suresh Khande, and Sangli MP Vishal Patil performed the 'bhoomi pooja' for the project on Friday.
Union Minister
Nitin Gadkari
took to social media platform X to announce the benefits of the project. He said that the Sangli district is an important economic and cultural hub, famous for turmeric.
""This project will be important with the aim of bringing the district into the mainstream. Actually National Highway-160 starts from Sinnar and goes to Chikodi in Karnataka via Shirdi, Nagar, Ashti, Phaltan, Dahiwadi, Mangaon, Vita, Miraj,"" said the minister.
Artificial Intelligence(AI)
Java Programming with ChatGPT: Learn using Generative AI
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Artificial Intelligence(AI)
Basics of Generative AI: Unveiling Tomorrows Innovations
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Artificial Intelligence(AI)
Generative AI for Dynamic Java Web Applications with ChatGPT
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Marketing
Performance Marketing for eCommerce Brands
By - Zafer Mukeri, Founder- Inara Marketers
View Program
Artificial Intelligence(AI)
Mastering C++ Fundamentals with Generative AI: A Hands-On
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Finance
A2Z Of Money
By - elearnmarkets, Financial Education by StockEdge
View Program
Artificial Intelligence(AI)
Master in Python Language Quickly Using the ChatGPT Open AI
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Office Productivity
Zero to Hero in Microsoft Excel: Complete Excel guide 2024
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Artificial Intelligence(AI)
AI and Analytics based Business Strategy
By - Tanusree De, Managing Director- Accenture Technology Lead, Trustworthy AI Center of Excellence: ATCI
View Program
Technology
Certified Jenkins Professional
By - Vskills, India's Leading Certification Body
View Program
Astrology
Vastu Shastra Course
By - Sachenkumar Rai, Vastu Shashtri
View Program
Data Science
SQL for Data Science along with Data Analytics and Data Visualization
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Web Development
A Comprehensive ASP.NET Core MVC 6 Project Guide for 2024
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Office Productivity
Mastering Microsoft Office: Word, Excel, PowerPoint, and 365
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Marketing
Digital marketing - Wordpress Website Development
By - Shraddha Somani, Digital Marketing Trainer, Consultant, Strategiest and Subject Matter expert
View Program
Web Development
Mastering Full Stack Development: From Frontend to Backend Excellence
By - Metla Sudha Sekhar, IT Specialist and Developer
View Program
Finance
Financial Literacy i.e Lets Crack the Billionaire Code
By - CA Rahul Gupta, CA with 10+ years of experience and Accounting Educator
View Program
Leadership
Business Storytelling Masterclass
By - Ameen Haque, Founder of Storywallahs
View Program
Marketing
Future of Marketing & Branding Masterclass
By - Dr. David Aaker, Professor Emeritus at the Haas School of Business, UC Berkeley, Author | Speaker | Thought Leader | Branding Consultant
View Program
Strategy
ESG and Business Sustainability Strategy
By - Vipul Arora, Partner, ESG & Climate Solutions at Sattva Consulting Author I Speaker I Thought Leader
View Program
RECOMMENDED
STORIES FOR YOU
Highlighting the importance of the stretch from Phaltan to Sangli on the highway, Gadkari said that agricultural products like turmeric, sugarcane, pomegranate, maize and jaggery is grown in in the area and are transported through this route.
""Baramati, Phaltan, Vita, Tasgaon and Sangli cities will be connected by the road after the completion of the project, which broke ground today,"" added Gadkari. He said that the project will boost the agricultural and industrial sectors in the area.
""It will be easy to reach religious places like Shirdi, Shani Shingnapur, Shikhar Shingnapur. This will boost religious tourism. Also, the socio-economic prosperity of the area will accelerate and employment and self-employment opportunities will be created,"" the minister said.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
"Cabinet approves phase-II of Chennai Metro at Rs 63,246 crore",https://economictimes.indiatimes.com/news/economy/infrastructure/cabinet-approves-phase-ii-of-chennai-metro-at-rs-63246-crore/articleshow/113928284.cms,04-10-2024,"The
Union Cabinet
approved the second phase of
Chennai metro
on Thursday. The 119-km network will be built at a cost of Rs 63,246 crore, ending a deadlock over the project that lasted several months, reported TOI.
The entire process of approval of a high investment project came at “superfast train speed” in just one day, sources told TOI. The project was cleared within 24 hours, a rare occurrence considering the size and the number of ministries involved.
The project will have 128 stations and is expected to be completed by 2027. When fully operational,
Chennai
will have a total metro network of 173 km.
PM Modi in a post on X said, “I congratulate the people of Chennai and
Tamil Nadu
on the cabinet’s approval of the Chennai Metro Rail Project Phase-II. This will help in easing traffic, improving sustainability and economic growth.”
— narendramodi (@narendramodi)
Live Events
Tamil Nadu Chief Minister
M K Stalin
thanked the PM for accepting his request made during their meeting last week. “The long pending demand of the people of Tamil Nadu having been addressed now, we are confident of completing the project at the earliest,” he said on X.
— mkstalin (@mkstalin)
Tamil Nadu BJP president K Annamalai aso thanked the PM for the cabinet nod for the project, mentioning that “PM has always had a special interest in ensuring TN receives its rightful share, which was denied during the 10 years of UPA govt, despite DMK holding key portfolios”.
— annamalai_k (@annamalai_k)
The
infrastructure project
will be funded by both the Central and the Tamil Nadu governments. Loans from multilateral funding agencies will also be sanctioned.
The second phase will have three corridors. Madhavaram to SIPCOT, Light House to Poonamallee Bypass, and Madhavaram to Sholinganallur. These corridors will connect north to south and east to west of Chennai, passing through major areas.
While 64 per cent of the corridors will be elevated, the 36 per cent will be underground. The design speed of the network will be 80 kmph, and the scheduled speed will be 32 kmph.
Union Ministry announced the decision and said once the approved phase becomes operational, the metro network will create an additional capacity for 13 lakh passengers per day. The minister added that this phase will integrate with other modes like suburban rail, and inter and intra-city bus terminus at 21 locations. It will also integrate with the Phase-I network at seven locations.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
Each of 12 smart cities to be a dedicated industrial hub,https://economictimes.indiatimes.com/news/economy/infrastructure/each-of-12-smart-cities-to-be-a-dedicated-industrial-hub/articleshow/113860844.cms,02-10-2024,"New Delhi: The upcoming 12
smart cities
will be developed as dedicated
industrial hubs
, each specific to a certain sector, officials said.
While the one in Agra is proposed as a hub for
electric vehicles
and electronics system design and manufacturing (ESDM), Palakkad could focus on medicines and botanicals. The industrial smart city in Gaya is being developed to generate maximum employment by setting up
food processing
, light engineering and metal-related industries.
Last month, the
Union Cabinet
approved setting up of 12 industrial smart cities with an overall investment of ₹28,602 crore.
""All cities will have specific and focused industrial hubs. The construction of these cities will take around three years,"" said an official, adding that contractors would be onboarded by March.
Live Events
These cities will span across 10 states such as Andhra Pradesh, Bihar, Kerala and Telangana and six major industrial corridors. They will function more like industrial cities, where residential and commercial setups would co-exist, have plug and play infrastructure with potable drinking water, 24 hours electricity and would be based on the 'walk-to-work' concept.
In Maharashtra, while Bidkin is coming up as an auto hub, Dighi is being developed as a project that would lead to
port-led industrialisation
and industry-led urbanisation while promoting ecotourism.
""Dighi and Krishnapatnam will be important for port-led industrialisation and industry-led urbanisation,"" said Rajat Kumar Saini, managing director, National Industrial Corridor Development Corporation, adding that all projects have been mapped with
PM Gatishakti
to aid ease of business.
Hospitality is also identified as another sector in Gaya while hospitals are showing interest in Agra.
These 12 cities have an investment potential of ₹1.5 lakh crore and employment potential of 1 million direct jobs and up to 3 million indirect jobs.
Japan, Singapore, Switzerland and Taiwan have shown interest in having dedicated industrial space in these cities. Officials said Switzerland has shown interest promoted by India-European Free Trade Association (EFTA), under which New Delhi has received an investment commitment of $100 billion over next 15 years. ""Because of EFTA, these countries are interested in investing. They want local partners,"" the official said.
(You can now subscribe to our
Economic Times WhatsApp channel
)"
